GBE_ID	GBE_short_name	pops	num_pops	gene	num_variants_pav	num_variants_ptv	log_10_BF_study_similar_var_independent_sigma_m_mpc_pli_pav	log_10_BF_study_similar_var_similar_sigma_m_mpc_pli_pav	log_10_BF_study_similar_var_similar_sigma_m_mpc_pli_ptv
BIN10030500	Microalbumin > 40 mg/L	non_british_white_others_related_white_british	4	COL4A4	12	4.0	75.5	60.8	75.5
BIN10030500	Microalbumin > 40 mg/L	non_british_white_others_related_white_british	4	CUBN	72		57.9	21.9	nan
BIN10030820	Rheumatoid factor > 16 IU/mL	non_british_white_others_related_white_british	4	TNFRSF13B	12		13.4	9.95	nan
BIN100580	Alcohol consumed	non_british_white_others_related_white_british	4	ADH1C	8	4.0	7.84	7.67	7.92
BIN102520	Soup consumers	non_british_white_others_related_white_british	4	ABCA13	108	4.0	2.63	5.08	-0.22
BIN102700	Starchy food consumers	african_non_british_white_others_related_s_asian_white_british	6	OR6K6	58		3.2	5.6	nan
BIN1618	Alcohol usually taken with meals	african_non_british_white_others_related_s_asian_white_british	6	ABCA13	156	4.0	5.02	3.73	-0.384
BIN1920	Mood swings	african_non_british_white_others_related_s_asian_white_british	6	BCLAF1	66	6.0	5.37	0.113	0.341
BIN2010	Suffer from 'nerves'	non_british_white_others_related_s_asian_white_british	5	CELA3B	20	5.0	6.55	7.02	3.58
BIN2040	Risk taking	african_non_british_white_others_related_s_asian_white_british	6	BTN2A2	42		5.55	8	nan
BIN20446	Ever had prolonged feelings of sadness or depression	non_british_white_others_related_white_british	4	SLC22A25	16	4.0	7.15	6.16	2.89
BIN20450	Feelings of worthlessness during worst period of depression	non_british_white_others_related_white_british	4	ABCA13	92	4.0	3	5.07	-0.246
BIN20532	Did your sleep change?	non_british_white_others_related_white_british	4	PKD1L1	44		2.91	6.99	nan
BIN22126	Doctor diagnosed hayfever or allergic rhinitis	non_british_white_others_related_white_british	4	BTNL2	28	4.0	3.72	5.74	1.68
BIN30030510	UACR > 30 mg/g	non_british_white_others_related_white_british	4	COL4A4	12	4.0	97.5	83.1	97.5
BIN30030510	UACR > 30 mg/g	non_british_white_others_related_white_british	4	CUBN	64		38.5	19	nan
BIN4598	Ever depressed for a whole week	african_non_british_white_others_related_s_asian_white_british	6	PCDHGA8	42		2.49	5.04	nan
BIN_FC10001259	Smoking/smokers in household	non_british_white_others_related_white_british	4	CSPG4	32		5.19	7.46	nan
BIN_FC10001628	Alcohol intake versus 10 years previously (More nowadays)	non_british_white_others_related_white_british	4	ADH1C	8	4.0	5.26	5.14	5.36
